Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Sweating Bullets,Megadeth,Greatest Hits: Back To The Start,1992,326600,4,0.331,0.859,4,-5.55,0,0.166,0.000315,0.00815,0.48,0.684,77.451,36
Symphony Of Destruction,Megadeth,Countdown To Extinction (Expanded Edition - Remastered),1992,246733,4,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,66
Tornado Of Souls,Megadeth,Rust In Peace,1990,322933,4,0.404,0.932,7,-11.151,1,0.102,0.0021,0.0313,0.072,0.399,194.505,57
Trust,Megadeth,Greatest Hits: Back To The Start,2004,312333,4,0.595,0.803,5,-4.293,1,0.0533,0.00126,0.369,0.096,0.375,132.125,46
Wake Up Dead - 2004 Remaster,Megadeth,Peace Sells...But Who's Buying? (Expanded Edition - Remastered),1986,217333,4,0.279,0.912,4,-4.608,1,0.126,0.0000267,0.737,0.0672,0.479,164.185,51
A Dangerous Meeting,Mercyful Fate,Don't Break the Oath,1983,312760,4,0.271,0.927,4,-9.57,0,0.0683,0.00963,0.438,0.34,0.502,138.413,41
Black Funeral,Mercyful Fate,Melissa,1983,169266,4,0.243,0.86,9,-11.046,1,0.0722,0.000129,0.0379,0.238,0.327,135.901,34
Curse of the Pharaohs,Mercyful Fate,Melissa,1983,237106,4,0.32,0.798,4,-9.999,1,0.0777,0.000113,0.0779,0.132,0.544,137.591,40
Evil,Mercyful Fate,Melissa,1983,284960,4,0.288,0.904,0,-9.455,1,0.114,0.000273,0.382,0.0894,0.556,133.838,44
Into the Coven,Mercyful Fate,Melissa,1983,311626,4,0.221,0.814,7,-9.849,1,0.113,0.0311,0.558,0.184,0.336,145.12,34
Melissa,Mercyful Fate,Melissa,1983,401506,4,0.24,0.56,9,-12.439,0,0.0453,0.00443,0.797,0.196,0.298,117.342,35
Nuns Have No Fun,Mercyful Fate,The Beginning,1983,261825,4,0.339,0.657,4,-12.586,0,0.0347,0.0747,0.0925,0.124,0.842,141.885,24
The Oath,Mercyful Fate,Don't Break the Oath,1987,454040,4,0.149,0.871,4,-10.296,0,0.128,0.000326,0.837,0.0707,0.149,169.472,32
Bleed,Meshuggah,ObZen,2008,442733,4,0.242,0.998,11,-5.64,1,0.0894,0.00000812,0.88,0.284,0.18,114.642,58
Clockworks,Meshuggah,The Violent Sleep of Reason,2016,435040,1,0.431,0.98,10,-5.313,0,0.107,0.00000201,0.831,0.289,0.366,129.935,41
Combustion,Meshuggah,ObZen,2016,248933,4,0.457,0.997,1,-4.992,0,0.0634,0.00000836,0.899,0.138,0.53,110.021,49
